number_rounds; #Wolves; #Preys; Wolf_Type; Homogeneous?; #Wolves_to_catch_preys; Visibility; Min_Preys_Captured
15;3;10;3follower_2formation;FALSE;2;5.0;1
17;;;;;;;
44;;;;;;;
20;;;;;;;
13;;;;;;;
37;;;;;;;
30;;;;;;;
286;;;;;;;
158;;;;;;;
9;;;;;;;
136;;;;;;;
15;;;;;;;
61;;;;;;;
10;;;;;;;
78;;;;;;;
38;;;;;;;
9;;;;;;;
24;;;;;;;
411;;;;;;;
411;;;;;;;
26;;;;;;;
117;;;;;;;
31;;;;;;;
24;;;;;;;
1130;;;;;;;
78;;;;;;;
46;;;;;;;
36;;;;;;;
68;;;;;;;
55;;;;;;;
35;;;;;;;
27;;;;;;;
761;;;;;;;
19;;;;;;;
34;;;;;;;
33;;;;;;;
145;;;;;;;
166;;;;;;;
170;;;;;;;
132;;;;;;;
30;;;;;;;
279;;;;;;;
160;;;;;;;
82;;;;;;;
9;;;;;;;
21;;;;;;;
56;;;;;;;
170;;;;;;;
437;;;;;;;
112;;;;;;;
30;;;;;;;
57;;;;;;;
35;;;;;;;
135;;;;;;;
109;;;;;;;
48;;;;;;;
414;;;;;;;
28;;;;;;;
1209;;;;;;;
13;;;;;;;
253;;;;;;;
1196;;;;;;;
95;;;;;;;
17;;;;;;;
332;;;;;;;
198;;;;;;;
162;;;;;;;
25;;;;;;;
18;;;;;;;
622;;;;;;;
69;;;;;;;
44;;;;;;;
12;;;;;;;
86;;;;;;;
27;;;;;;;
56;;;;;;;
14;;;;;;;
80;;;;;;;
390;;;;;;;
1;;;;;;;
110;;;;;;;
533;;;;;;;
40;;;;;;;
40;;;;;;;
943;;;;;;;
24;;;;;;;
472;;;;;;;
116;;;;;;;
12;;;;;;;
31;;;;;;;
1271;;;;;;;
72;;;;;;;
15;;;;;;;
1197;;;;;;;
13;;;;;;;
32;;;;;;;
36;;;;;;;
405;;;;;;;
6;;;;;;;
55;;;;;;;
57;;;;;;;
99;;;;;;;
26;;;;;;;
1360;;;;;;;
15;;;;;;;
30;;;;;;;
240;;;;;;;
167;;;;;;;
23;;;;;;;
106;;;;;;;
32;;;;;;;
7;;;;;;;
18;;;;;;;
149;;;;;;;
192;;;;;;;
70;;;;;;;
45;;;;;;;
306;;;;;;;
25;;;;;;;
27;;;;;;;
12;;;;;;;
1079;;;;;;;
59;;;;;;;
70;;;;;;;
1216;;;;;;;
40;;;;;;;
269;;;;;;;
41;;;;;;;
196;;;;;;;
37;;;;;;;
47;;;;;;;
20;;;;;;;
23;;;;;;;
157;;;;;;;
10;;;;;;;
518;;;;;;;
769;;;;;;;
26;;;;;;;
21;;;;;;;
1;;;;;;;
33;;;;;;;
221;;;;;;;
43;;;;;;;
286;;;;;;;
90;;;;;;;
31;;;;;;;
73;;;;;;;
98;;;;;;;
10;;;;;;;
125;;;;;;;
130;;;;;;;
885;;;;;;;
30;;;;;;;
82;;;;;;;
531;;;;;;;
66;;;;;;;
146;;;;;;;
62;;;;;;;
32;;;;;;;
18;;;;;;;
78;;;;;;;
510;;;;;;;
7;;;;;;;
37;;;;;;;
47;;;;;;;
177;;;;;;;
42;;;;;;;
158;;;;;;;
145;;;;;;;
17;;;;;;;
9;;;;;;;
108;;;;;;;
110;;;;;;;
237;;;;;;;
554;;;;;;;
68;;;;;;;
111;;;;;;;
43;;;;;;;
61;;;;;;;
57;;;;;;;
434;;;;;;;
50;;;;;;;
45;;;;;;;
40;;;;;;;
31;;;;;;;
779;;;;;;;
35;;;;;;;
20;;;;;;;
69;;;;;;;
289;;;;;;;
24;;;;;;;
81;;;;;;;
35;;;;;;;
220;;;;;;;
275;;;;;;;
1604;;;;;;;
127;;;;;;;
96;;;;;;;
33;;;;;;;
43;;;;;;;
32;;;;;;;
23;;;;;;;
84;;;;;;;
30;;;;;;;
27;;;;;;;
18;;;;;;;
62;;;;;;;
252;;;;;;;
30;;;;;;;
5;;;;;;;
29;;;;;;;
165;;;;;;;
14;;;;;;;
84;;;;;;;
36;;;;;;;
375;;;;;;;
41;;;;;;;
18;;;;;;;
387;;;;;;;
23;;;;;;;
17;;;;;;;
18;;;;;;;
395;;;;;;;
238;;;;;;;
1231;;;;;;;
586;;;;;;;
78;;;;;;;
358;;;;;;;
95;;;;;;;
67;;;;;;;
126;;;;;;;
56;;;;;;;
50;;;;;;;
16;;;;;;;
115;;;;;;;
196;;;;;;;
165;;;;;;;
27;;;;;;;
134;;;;;;;
64;;;;;;;
69;;;;;;;
57;;;;;;;
93;;;;;;;
10;;;;;;;
106;;;;;;;
79;;;;;;;
42;;;;;;;
8;;;;;;;
75;;;;;;;
112;;;;;;;
368;;;;;;;
1677;;;;;;;
180;;;;;;;
82;;;;;;;
71;;;;;;;
206;;;;;;;
38;;;;;;;
29;;;;;;;
79;;;;;;;
8;;;;;;;
93;;;;;;;
135;;;;;;;
48;;;;;;;
7;;;;;;;
978;;;;;;;
9;;;;;;;
10;;;;;;;
24;;;;;;;
29;;;;;;;
9;;;;;;;
44;;;;;;;
31;;;;;;;
14;;;;;;;
159;;;;;;;
100;;;;;;;
24;;;;;;;
27;;;;;;;
212;;;;;;;
273;;;;;;;
11;;;;;;;
84;;;;;;;
12;;;;;;;
16;;;;;;;
65;;;;;;;
62;;;;;;;
69;;;;;;;
24;;;;;;;
43;;;;;;;
18;;;;;;;
220;;;;;;;
87;;;;;;;
14;;;;;;;
41;;;;;;;
5;;;;;;;
440;;;;;;;
3;;;;;;;
33;;;;;;;
95;;;;;;;
17;;;;;;;
37;;;;;;;
14;;;;;;;
71;;;;;;;
29;;;;;;;
12;;;;;;;
43;;;;;;;
360;;;;;;;
36;;;;;;;
136;;;;;;;
37;;;;;;;
32;;;;;;;
88;;;;;;;
503;;;;;;;
1293;;;;;;;
54;;;;;;;
51;;;;;;;
73;;;;;;;
522;;;;;;;
41;;;;;;;
92;;;;;;;
29;;;;;;;
123;;;;;;;
24;;;;;;;
1093;;;;;;;
43;;;;;;;
635;;;;;;;
106;;;;;;;
18;;;;;;;
50;;;;;;;
170;;;;;;;
8;;;;;;;
66;;;;;;;
192;;;;;;;
122;;;;;;;
17;;;;;;;
109;;;;;;;
332;;;;;;;
48;;;;;;;
33;;;;;;;
44;;;;;;;
15;;;;;;;
106;;;;;;;
459;;;;;;;
31;;;;;;;
1127;;;;;;;
68;;;;;;;
8;;;;;;;
420;;;;;;;
21;;;;;;;
47;;;;;;;
22;;;;;;;
5;;;;;;;
36;;;;;;;
34;;;;;;;
349;;;;;;;
127;;;;;;;
65;;;;;;;
76;;;;;;;
44;;;;;;;
48;;;;;;;
50;;;;;;;
31;;;;;;;
16;;;;;;;
69;;;;;;;
35;;;;;;;
219;;;;;;;
1295;;;;;;;
18;;;;;;;
19;;;;;;;
12;;;;;;;
22;;;;;;;
18;;;;;;;
60;;;;;;;
4;;;;;;;
185;;;;;;;
172;;;;;;;
46;;;;;;;
33;;;;;;;
90;;;;;;;
2195;;;;;;;
340;;;;;;;
125;;;;;;;
411;;;;;;;
28;;;;;;;
1731;;;;;;;
75;;;;;;;
101;;;;;;;
28;;;;;;;
37;;;;;;;
123;;;;;;;
15;;;;;;;
39;;;;;;;
158;;;;;;;
77;;;;;;;
166;;;;;;;
121;;;;;;;
82;;;;;;;
195;;;;;;;
22;;;;;;;
6;;;;;;;
29;;;;;;;
61;;;;;;;
219;;;;;;;
14;;;;;;;
25;;;;;;;
21;;;;;;;
53;;;;;;;
123;;;;;;;
57;;;;;;;
173;;;;;;;
1474;;;;;;;
164;;;;;;;
46;;;;;;;
24;;;;;;;
58;;;;;;;
3;;;;;;;
35;;;;;;;
86;;;;;;;
261;;;;;;;
80;;;;;;;
35;;;;;;;
18;;;;;;;
102;;;;;;;
24;;;;;;;
374;;;;;;;
29;;;;;;;
69;;;;;;;
61;;;;;;;
14;;;;;;;
96;;;;;;;
23;;;;;;;
67;;;;;;;
254;;;;;;;
227;;;;;;;
8;;;;;;;
23;;;;;;;
34;;;;;;;
205;;;;;;;
29;;;;;;;
466;;;;;;;
989;;;;;;;
25;;;;;;;
26;;;;;;;
423;;;;;;;
22;;;;;;;
112;;;;;;;
1252;;;;;;;
239;;;;;;;
138;;;;;;;
713;;;;;;;
50;;;;;;;
221;;;;;;;
405;;;;;;;
79;;;;;;;
34;;;;;;;
28;;;;;;;
22;;;;;;;
1364;;;;;;;
548;;;;;;;
15;;;;;;;
112;;;;;;;
515;;;;;;;
37;;;;;;;
26;;;;;;;
6;;;;;;;
178;;;;;;;
661;;;;;;;
29;;;;;;;
46;;;;;;;
14;;;;;;;
17;;;;;;;
254;;;;;;;
70;;;;;;;
283;;;;;;;
133;;;;;;;
8;;;;;;;
995;;;;;;;
71;;;;;;;
49;;;;;;;
52;;;;;;;
41;;;;;;;
144;;;;;;;
81;;;;;;;
371;;;;;;;
48;;;;;;;
36;;;;;;;
2989;;;;;;;
13;;;;;;;
29;;;;;;;
1163;;;;;;;
67;;;;;;;
33;;;;;;;
831;;;;;;;
170;;;;;;;
305;;;;;;;
65;;;;;;;
366;;;;;;;
579;;;;;;;
30;;;;;;;
