number_rounds; #Wolves; #Preys; Wolf_Type; Homogeneous?; #Wolves_to_catch_preys; Visibility; Min_Preys_Captured
44;3;10;following;TRUE;2;5.0;1
385;;;;;;;
113;;;;;;;
59;;;;;;;
43;;;;;;;
342;;;;;;;
110;;;;;;;
23;;;;;;;
118;;;;;;;
300;;;;;;;
11;;;;;;;
121;;;;;;;
88;;;;;;;
47;;;;;;;
187;;;;;;;
30;;;;;;;
157;;;;;;;
231;;;;;;;
115;;;;;;;
75;;;;;;;
341;;;;;;;
78;;;;;;;
581;;;;;;;
113;;;;;;;
969;;;;;;;
293;;;;;;;
95;;;;;;;
9;;;;;;;
246;;;;;;;
255;;;;;;;
41;;;;;;;
204;;;;;;;
99;;;;;;;
131;;;;;;;
294;;;;;;;
237;;;;;;;
653;;;;;;;
118;;;;;;;
297;;;;;;;
362;;;;;;;
232;;;;;;;
55;;;;;;;
136;;;;;;;
6;;;;;;;
295;;;;;;;
959;;;;;;;
138;;;;;;;
77;;;;;;;
195;;;;;;;
580;;;;;;;
111;;;;;;;
187;;;;;;;
112;;;;;;;
306;;;;;;;
143;;;;;;;
279;;;;;;;
185;;;;;;;
283;;;;;;;
243;;;;;;;
83;;;;;;;
17;;;;;;;
370;;;;;;;
254;;;;;;;
77;;;;;;;
39;;;;;;;
150;;;;;;;
135;;;;;;;
160;;;;;;;
294;;;;;;;
129;;;;;;;
279;;;;;;;
33;;;;;;;
60;;;;;;;
272;;;;;;;
11;;;;;;;
863;;;;;;;
86;;;;;;;
208;;;;;;;
108;;;;;;;
173;;;;;;;
4;;;;;;;
117;;;;;;;
979;;;;;;;
53;;;;;;;
50;;;;;;;
48;;;;;;;
98;;;;;;;
46;;;;;;;
94;;;;;;;
193;;;;;;;
6;;;;;;;
416;;;;;;;
164;;;;;;;
399;;;;;;;
349;;;;;;;
60;;;;;;;
214;;;;;;;
12;;;;;;;
30;;;;;;;
51;;;;;;;
53;;;;;;;
171;;;;;;;
695;;;;;;;
105;;;;;;;
70;;;;;;;
51;;;;;;;
287;;;;;;;
219;;;;;;;
65;;;;;;;
105;;;;;;;
82;;;;;;;
273;;;;;;;
249;;;;;;;
259;;;;;;;
52;;;;;;;
63;;;;;;;
127;;;;;;;
504;;;;;;;
92;;;;;;;
194;;;;;;;
584;;;;;;;
1126;;;;;;;
111;;;;;;;
70;;;;;;;
11;;;;;;;
363;;;;;;;
9;;;;;;;
12;;;;;;;
95;;;;;;;
32;;;;;;;
51;;;;;;;
465;;;;;;;
447;;;;;;;
123;;;;;;;
101;;;;;;;
455;;;;;;;
218;;;;;;;
60;;;;;;;
104;;;;;;;
445;;;;;;;
