number_rounds; #Wolves; #Preys; Wolf_Type; Homogeneous?; #Wolves_to_catch_preys; Visibility; Min_Preys_Captured
22;3;10;formation;TRUE;2;5.0;1
60;;;;;;;
134;;;;;;;
101;;;;;;;
48;;;;;;;
66;;;;;;;
237;;;;;;;
193;;;;;;;
23;;;;;;;
110;;;;;;;
23;;;;;;;
11;;;;;;;
22;;;;;;;
59;;;;;;;
48;;;;;;;
521;;;;;;;
26;;;;;;;
290;;;;;;;
30;;;;;;;
64;;;;;;;
19;;;;;;;
35;;;;;;;
78;;;;;;;
15;;;;;;;
24;;;;;;;
8;;;;;;;
21;;;;;;;
42;;;;;;;
24;;;;;;;
465;;;;;;;
70;;;;;;;
17;;;;;;;
373;;;;;;;
250;;;;;;;
48;;;;;;;
63;;;;;;;
344;;;;;;;
144;;;;;;;
70;;;;;;;
239;;;;;;;
19;;;;;;;
12;;;;;;;
25;;;;;;;
18;;;;;;;
281;;;;;;;
52;;;;;;;
103;;;;;;;
263;;;;;;;
142;;;;;;;
45;;;;;;;
21;;;;;;;
19;;;;;;;
14;;;;;;;
28;;;;;;;
96;;;;;;;
69;;;;;;;
46;;;;;;;
23;;;;;;;
386;;;;;;;
197;;;;;;;
114;;;;;;;
58;;;;;;;
217;;;;;;;
8;;;;;;;
231;;;;;;;
26;;;;;;;
84;;;;;;;
66;;;;;;;
63;;;;;;;
40;;;;;;;
105;;;;;;;
23;;;;;;;
85;;;;;;;
22;;;;;;;
45;;;;;;;
20;;;;;;;
84;;;;;;;
29;;;;;;;
8;;;;;;;
59;;;;;;;
45;;;;;;;
75;;;;;;;
221;;;;;;;
43;;;;;;;
215;;;;;;;
21;;;;;;;
35;;;;;;;
65;;;;;;;
390;;;;;;;
220;;;;;;;
58;;;;;;;
172;;;;;;;
88;;;;;;;
237;;;;;;;
101;;;;;;;
157;;;;;;;
152;;;;;;;
27;;;;;;;
173;;;;;;;
12;;;;;;;
90;;;;;;;
37;;;;;;;
191;;;;;;;
62;;;;;;;
48;;;;;;;
41;;;;;;;
205;;;;;;;
5;;;;;;;
48;;;;;;;
17;;;;;;;
